Investigator,Contact_Person,Tag_ID,Species,Length_cm,Weight_kg,Stock_Area,Start_Date,End_Date,Days/Area
USA_NOAA,C_Brown,GOM_2012_22,BFT,210,,GOM,2012-03-19,2012-06-22,96
USA_NOAA,C_Brown,GOM_2012_23,BFT,210,,GOM,2012-03-28,2012-05-03,37
USA_NOAA,C_Brown,GOM_2012_23,BFT,210,,CAR,2012-05-04,2012-05-07,4
USA_NOAA,C_Brown,GOM_2012_24,BFT,240,225,GOM,2012-04-25,2012-05-28,34
USA_NOAA,C_Brown,GOM_2012_24,BFT,240,225,CAR,2012-05-29,2012-06-03,6
USA_NOAA,C_Brown,GOM_2012_24,BFT,240,225,W_ATL,2012-06-04,2012-06-05,2
USA_NOAA,C_Brown,GOM_2012_24,BFT,240,225,W_ATL,2012-06-06,2012-06-15,10
USA_NOAA,C_Brown,GOM_2012_25,BFT,240,200,GOM,2012-05-13,2012-06-14,33
USA_NOAA,C_Brown,GOM_2012_25,BFT,240,200,CAR,2012-06-15,2012-06-18,4
USA_NOAA,C_Brown,GOM_2012_25,BFT,240,200,W_ATL,2012-06-19,2012-07-02,14
USA_NOAA,C_Brown,GOM_2012_26,BFT,210,180,GOM,2012-05-28,2012-06-14,18
USA_NOAA,C_Brown,GOM_2012_26,BFT,210,180,CAR,2012-06-15,2012-06-19,5
USA_NOAA,C_Brown,GOM_2012_26,BFT,210,180,W_ATL,2012-06-20,2012-07-29,40
USA_NOAA,C_Brown,GOM_2012_26,BFT,210,180,GSL,2012-07-30,2012-09-18,51
USA_NOAA,C_Brown,GOM_2012_27,BFT,240,225,GOM,2012-05-14,2012-06-14,32
USA_NOAA,C_Brown,GOM_2012_27,BFT,240,225,CAR,2012-06-15,2012-06-24,10
USA_NOAA,C_Brown,GOM_2012_27,BFT,240,225,W_ATL,2012-06-25,2012-07-11,17
USA_NOAA,C_Brown,GOM_2012_28,BFT,240,200,GOM,2012-05-17,2012-06-14,29
USA_NOAA,C_Brown,GOM_2012_28,BFT,240,200,CAR,2012-06-15,2012-06-16,2
USA_NOAA,C_Brown,GOM_2012_28,BFT,240,200,W_ATL,2012-06-17,2012-07-10,24
